t,sat,gss
3852,1,SVA
3853,1,SVA
3854,1,SVA
3855,1,SVA
3856,1,SVA
3857,1,SVA
3858,1,SVA
3859,1,SVA
3860,1,SVA
3861,1,SVA
3862,1,SVA
3863,1,SVA
3864,1,SVA
3865,1,SVA
3866,1,SVA
3867,1,SVA
3868,1,SVA
3869,1,SVA
3870,1,SVA
3871,1,SVA
3872,1,SVA
3873,1,SVA
3874,1,SVA
3875,1,SVA
3876,1,SVA
3877,1,SVA
3878,1,SVA
3879,1,SVA
3880,1,SVA
3881,1,SVA
3882,1,SVA
3883,1,SVA
3884,1,SVA
3885,1,SVA
3886,1,SVA
3887,1,SVA
3888,1,SVA
3889,1,SVA
3890,1,SVA
3891,1,SVA
3892,1,SVA
3893,1,SVA
3894,1,SVA
3895,1,SVA
3896,1,SVA
3897,1,SVA
3898,1,SVA
3899,1,SVA
3900,1,SVA
3901,1,SVA
